cite,question_id,question,choices,answer,chapter
"평소에도 떡을 먹는 경우가 많지만, 특히 결혼식이나 제사, 명절, 생일 등을 맞이했을 때 떡은 꼭 있어야 할 음식 중 하나로 여겨지고 있다.",873,한국에서 떡은 어떤 경우에 주로 먹는가?,"1. 결혼식, 제사, 명절, 생일
2. 아침식사, 점심식사, 저녁식사
3. 간식, 야식
4. 모든 식사
","결혼식, 제사, 명절, 생일",13.0
"떡은 가족끼리 먹기도 하고 이웃, 친척 등과 함께 나누어 먹거나 선물을 하는 경우도 많다.",874,한국에서 떡은 어떤 경우에 먹거나 나눠먹는가?,"1. 가족끼리, 이웃과 친척과 함께, 선물로
2. 혼자서, 친구와 함께, 선물로
3. 가족끼리, 혼자서, 선물로
4. 혼자서, 친구와 함께, 가족끼리
","가족끼리, 이웃과 친척과 함께, 선물로",13.0
"백설기, 인절미, 절편, 가래떡 등이 한국에서 자주 볼 수 있는 대표적인 떡이다.",875,한국에서 자주 볼 수 있는 대표적인 떡은 무엇인가?,"1. 백설기, 인절미, 절편, 가래떡
2. 크로와상, 바게트, 브리오슈, 푸아그라스
3. 소바, 우동, 라멘, 돈부리
4. 타코, 부리토, 치미창가, 퀘사디아
","백설기, 인절미, 절편, 가래떡",13.0
온돌  부엌의 아궁이에 불을 때면 불 기운이 방 밑에 있는 돌을 데워서 방 전체를 따뜻하게 해 주는 전통적인 난방 장치,876,온돌이란 무엇인가?,"1. 부엌의 아궁이에 불을 때면 불 기운이 방 밑에 있는 돌을 데워서 방 전체를 따뜻하게 해 주는 전통적인 난방 장치
2. 방 안에 설치된 전기나 가스를 이용한 난방 장치
3. 방 안에 설치된 벽난로나 스토브 같은 난방 장치
4. 방 안에 설치된 에어컨이나 히터 같은 난방 장치
",부엌의 아궁이에 불을 때면 불 기운이 방 밑에 있는 돌을 데워서 방 전체를 따뜻하게 해 주는 전통적인 난방 장치,13.0
대청마루  방과 방 사이에 있는 큰 마루,877,대청마루란 무엇인가?,"1. 방과 방 사이에 있는 큰 마루
2. 방 안에 있는 작은 마루
3. 방 밖에 있는 큰 마루
4. 방 밖에 있는 작은 마루
",방과 방 사이에 있는 큰 마루,13.0
추수  가을에 곡식을 거두는 것,878,추수란 무엇인가?,"1. 가을에 곡식을 거두는 것
2. 봄에 곡식을 심는 것
3. 여름에 곡식을 거두는 것
4. 겨울에 곡식을 심는 것
",가을에 곡식을 거두는 것,13.0
양반  조선시대의 상류층,879,양반이란 무엇인가?,"1. 조선시대의 상류층
2. 조선시대의 중류층
3. 조선시대의 하류층
4. 조선시대의 무인
",조선시대의 상류층,13.0
현재까지 남아있는 한옥마을 한옥마을은 한국의 전통 한옥을 볼 수 있는 곳이다.,880,한옥마을에서는 어떤 것을 볼 수 있는가?,"1. 한국의 전통 한복
2. 한국의 전통 음식
3. 한국의 전통 한옥
4. 한국의 전통 무용
",한국의 전통 한옥,13.0
"대표적인 곳으로 전주에 있는 한옥 마을, 서울의 북촌과 남산에 있는 한옥마을 등을 꼽을 수 있다.",881,한옥마을의 대표적인 위치는 어디인가?,"1. 부산과 대구
2. 광주와 대전
3. 전주와 서울
4. 인천과 울산
",전주와 서울,13.0
한옥은 한국의 전통적인 집이다.,882,한옥은 무엇인가?,"1. 한국의 전통적인 음식
2. 한국의 전통적인 옷
3. 한국의 전통적인 무용
4. 한국의 전통적인 집
",한국의 전통적인 집,13.0
"집의 위치를 중요하게 생각하는 한국에서는 집 뒤에 산이 있어 바람을 막을 수 있고, 집 앞에는 강이 있어 물을 구하기 쉬운 곳에 지은 집을 좋은 집이라고 생각했다.",883,한국에서는 어떤 위치에 집을 지으려고 했는가?,"1. 산 뒤와 강 앞
2. 산 앞과 강 뒤
3. 산 옆과 강 옆
4. 산 위와 강 아래
",산 뒤와 강 앞,13.0
"추운 겨울에는 한국 고유의 난방 장치인 온돌이 있어 방을 따뜻하게 하였고, 더운 여름에는 바람이 잘 통하는 대청 마루에서 주로 생활하며 더위를 피하기도 하였다.",884,한옥에서는 어떻게 겨울과 여름을 대비하는가?,"1. 온돌과 대청마루를 사용
2. 에어컨과 히터를 사용
3. 선풍기와 전기장판을 사용
4. 냉장고와 전기담요를 사용
",온돌과 대청마루를 사용,13.0
한옥은 지붕을 만드는 재료에 따라 기와집과 초가집로 나뉜다.,885,한옥은 어떤 기준으로 나뉘는가?,"1. 크기에 따라
2. 색상에 따라
3. 지붕 재료에 따라
4. 위치에 따라
",지붕 재료에 따라,13.0
초가집은 추수한 후에 생긴 볏짚을 지붕에 얹은 집 으로 주로 서민들의 집으로 많이 사용되었다.,886,초가집의 지붕 재료는 무엇인가?,"1. 흙
2. 나무
3. 기와
4. 볏짚
",볏짚,13.0
기와집은 흙으로 만들어 구운 기와를 지붕에 얹은 집으로 주로 양반들의 집으로 많이 사용되었다.,887,기와집의 지붕 재료는 무엇인가?,"1. 흙
2. 나무
3. 기와
4. 볏짚
",기와,13.0
전주한옥마을에서는 한옥 생활체험관에서 하룻밤을 지내며 한옥생활을 경험해 볼 수 있다.,888,전주 한옥마을에서는 무엇을 체험할 수 있는가?,"1. 한옥 건축 체험
2. 한옥 생활 체험
3. 한옥 문화 체험
4. 한옥 역사 체험
",한옥 생활 체험,13.0
조선시대 한옥을 그대로 복원해 놓은 남산골한옥마을에서는 전통적인 주거 모습을 살펴볼 수 있다.,889,남산골 한옥마을에서는 무엇을 볼 수 있는가?,"1. 조선시대 한옥의 복원 모습
2. 조선시대 한복의 복원 모습
3. 조선시대 음식의 복원 모습
4. 조선시대 무용의 복원 모습
",조선시대 한옥의 복원 모습,13.0
한복은 한국인의 전통적인 옷이다.,890,한복은 어느 나라의 전통적인 옷인가?,"1. 중국
2. 일본
3. 한국
4. 베트남
",한국,13.0
요즘의 한복은 조선시대의 형태가 전해진 것이다.,891,현재의 한복은 어느 시대의 형태를 이어받았는가?,"1. 고구려
2. 백제
3. 신라
4. 조선
",조선,13.0
남자는 바지와 저고리를 기본으로 하고 외출할 때는 두루마기를 입었다.,892,전통 한복에서 남자가 외출할 때 주로 입었던 옷은 무엇인가?,"1. 저고리
2. 치마
3. 두루마기
4. 장옷
",두루마기,13.0
여자는 치마와 저고리를 기본으로 하고 외출할 때는 장옷을 입었다.,893,전통 한복에서 여자가 외출할 때 주로 입었던 옷은 무엇인가?,"1. 저고리
2. 치마
3. 두루마기
4. 장옷
",장옷,13.0
남녀 모두 발에는 버선을 신었다.,894,전통 한복에서 남녀 모두 발에 신었던 것은 무엇인가?,"1. 신발
2. 양말
3. 버선
4. 구두
",버선,13.0
"여름에는 삼베나 모시로 옷을 만들어 시원하게 입고 지냈으며, 겨울에는 비단이나 솜으로 옷을 만들어 따뜻하게 입고 지냈다.",895,전통 한복에서 겨울에 주로 사용한 재료는 무엇인가?,"1. 삼베
2. 모시
3. 비단
4. 솜
",비단,13.0
"요즘 한복은 명절, 결혼식, 돌잔치 등과 같은 특별한 날에 입는 옷이 되었다.",896,현재 한복은 주로 어떤 날에 입는가?,"1. 일상
2. 명절
3. 출근
4. 운동
",명절,13.0
집 밖에서의 활동이 많은 현대 사회의 특성에 비추어 볼 때 한복을 입는 것이 다소 번거로울 수 있기 때문이다.,897,왜 현대 사회에서 한복을 입는 것이 번거롭다고 생각하는가?,"1. 옷이 무겁다
2. 옷이 비싸다
3. 집 밖에서 활동이 많다
4. 옷이 너무 화려하다
",집 밖에서 활동이 많다,13.0
"한편, 한복의 전통성을 살리면서도 일상생활에서 입기 편하도록 개량하여 만든 생활한복이 꾸준한 인기를 끌고 있다.",898,생활한복은 어떤 특성 때문에 인기를 끌고 있는가?,"1. 가격이 저렴하다
2. 디자인이 다양하다
3. 일상생활에서 입기 편하다
4. 세탁이 쉽다
",일상생활에서 입기 편하다,13.0
한복은 시대에 따라 모양이 달랐는데 요즘의 한복은 조선시대의 형태가 전해진 것이다.,899,한복의 모양은 어떤 것에 따라 달라졌는가?,"1. 지역에 따라
2. 시대에 따라
3. 성별에 따라
4. 나이에 따라
",시대에 따라,13.0
추석의 대표적인 음식은 송편이다.,700,추석의 대표적인 음식은 무엇인가?,"1. 김치
2. 떡국
3. 송편
4. 삼겹살
",송편,14.0
"송편은 쌀을 이용하여 달 모양으로 만든 떡으로, ‘솔잎 위에 쪄 낸다,’는 의미를 담고 있다.",701,송편은 어떤 모양으로 만들어지나요?,"1. 별 모양
2. 달 모양
3. 하트 모양
4. 네모 모양
",달 모양,14.0
송편을 예쁘게 빚으면 예쁜 딸을 낳는다는 말도 전해지고 있다.,702,송편을 예쁘게 빚으면 어떤 좋은 일이 생기는 것으로 전해지나요?,"1. 부자가 된다
2. 예쁜 딸을 낳는다
3. 건강해진다
4. 행운이 온다
",예쁜 딸을 낳는다,14.0
추석은 일 년 중 보름달이 가장 크고 밝다.,703,추석은 일 년 중 어떤 달이 가장 크고 밝은가요?,"1. 초승달
2. 보름달
3. 하현달
4. 상현달
",보름달,14.0
그래서 전통적 으로 추석 밤에는 보름달을 바라보며 소원을 비는 달맞이나 강강술래 놀이를 즐겼다.,704,추석 밤에는 어떤 전통적인 활동을 하는가?,"1. 달맞이나 강강술래 놀이
2. 불꽃놀이
3. 마라톤 대회
4. 축구 경기
",달맞이나 강강술래 놀이,14.0
"송편은 쌀을 이용하여 달 모양으로 만든 떡으로, ‘솔잎 위에 쪄 낸다,’는 의미를 담고 있다.",705,송편을 만드는 주요 재료는 무엇인가?,"1. 밀가루
2. 쌀
3. 감자
4. 메밀
",쌀,14.0
추석의 대표적인 음식은 송편이다.,706,송편은 어떤 행사의 대표적인 음식인가?,"1. 설날
2. 추석
3. 크리스마스
4. 생일
",추석,14.0
그래서 전통적 으로 추석 밤에는 보름달을 바라보며 소원을 비는 달맞이나 강강술래 놀이를 즐겼다.,707,추석 밤에는 보름달을 바라보며 무엇을 하는 것이 전통인가?,"1. 노래 부르기
2. 춤추기
3. 소원 빌기
4. 요리하기
",소원 빌기,14.0
송편을 예쁘게 빚으면 예쁜 딸을 낳는다는 말도 전해지고 있다.,708,송편을 예쁘게 빚는 것에 대한 민간신앙은 무엇인가?,"1. 집이 풍요로워진다
2. 예쁜 딸을 낳는다
3. 장수한다
4. 사랑이 이루어진다
",예쁜 딸을 낳는다,14.0
추석은 일 년 중 보름달이 가장 크고 밝다.,709,추석은 일 년 중 언제인가?,"1. 보름달이 가장 크고 밝은 날
2. 초승달이 가장 크고 밝은 날
3. 하현달이 가장 크고 밝은 날
4. 상현달이 가장 크고 밝은 날
",보름달이 가장 크고 밝은 날,14.0
한국인의 가장 오래된 종교는 무속신앙이라고 할 수 있다.,210,한국인의 가장 오래된 종교는 무엇인가?,"1. 불교
2. 기독교
3. 무속신앙
4. 천주교
",무속신앙,15.0
예로부터 한국인은 주변에 많은 신령이 있고 이들 신령이 사람들의 길흉화복을 정해준다고 생각했다.,211,예로부터 한국인들은 신령이 무엇을 정해준다고 믿었나요?,"1. 인생의 방향
2. 길흉화복
3. 사람들의 운명
4. 사랑의 결과
",길흉화복,15.0
무당을 찾아가 굿을 하지 않더라도 일상생활에서 다양한 신령에게 자신의 행운을 비는 경우도 많았다.,212,무당을 찾아가 굿을 하지 않더라도 한국인들은 어떻게 행운을 빌었나요?,"1. 기도를 통해
2. 다양한 신령에게 비는 경우도 많았다
3. 점을 치면서
4. 물을 뿌리면서
",다양한 신령에게 비는 경우도 많았다,15.0
한국에서는 전통적으로 나무나 돌에도 신성한 기운이 있다고 믿었다.,213,한국에서는 어떤 것들에 신성한 기운이 있다고 믿었나요?,"1. 나무와 돌
2. 물과 불
3. 흙과 바람
4. 하늘과 땅
",나무와 돌,15.0
대표적으로 마을입구에서 마을을 지켜주는 신성한 나무인 당산나무가 있다.,214,마을을 지켜주는 신성한 나무는 무엇인가요?,"1. 소나무
2. 백두산나무
3. 당산나무
4. 은행나무
",당산나무,15.0
장승과 솟대도 마을 입구에서 마을을 지켜 주는 존재로 인식되었다.,215,장승과 솟대는 어떤 역할을 했나요?,"1. 마을을 지켜주는 역할
2. 농사를 돕는 역할
3. 사람들을 이끄는 역할
4. 사람들을 가르치는 역할
",마을을 지켜주는 역할,15.0
"장승은 무섭게 생긴 사람 머리 모양의 기둥으로, 사람들은 장승이 길을 알려줄 뿐 아니라 마을에 나쁜 일이 생기지 않도록 해준다고 믿었다.",216,장승에 대한 설명으로 옳지 않은 것은 무엇인가요?,"1. 장승은 무섭게 생긴 사람 머리 모양의 기둥이다
2. 장승은 길을 알려준다
3. 장승은 마을에 나쁜 일이 생기지 않도록 해준다
4. 장승은 농사를 돕는다
",장승은 농사를 돕는다,15.0
"솟대는 긴 나무 막대기 위에 나무나 돌로 만든 새를 올려놓은 것인데, 사람들은 솟대를 세워 농사가 잘 되고 행운이 찾아오기를 빌었다.",217,솟대에 대한 설명으로 옳지 않은 것은 무엇인가요?,"1. 솟대는 긴 나무 막대기 위에 나무나 돌로 만든 새를 올려놓은 것이다
2. 솟대를 세우면 농사가 잘 된다고 믿었다
3. 솟대를 세우면 행운이 찾아온다고 믿었다
4. 솟대는 마을을 지키는 역할을 한다
",솟대는 마을을 지키는 역할을 한다,15.0
"무속(巫俗) 신앙  영어로는 샤머니즘(Shamanism)이 라고 하며, 무속인(shaman)을 매개로 하여 신과 교류하는 원시적 신앙 형태",218,무속신앙을 영어로 무엇이라고 하나요?,"1. Buddhism
2. Christianity
3. Shamanism
4. Catholicism
",Shamanism,15.0
굿  무당이 노래와 춤을 통해 신령과 교류한다고 믿는 의식,219,굿이란 무엇인가요?,"1. 무당이 노래와 춤을 통해 신령과 교류한다고 믿는 의식
2. 무당이 신과 사람을 연결하는 존재
3. 무당이 신령을 통해 미래를 예측하는 것
4. 무당이 신성한 나무나 돌에게 제사를 지내는 것
",무당이 노래와 춤을 통해 신령과 교류한다고 믿는 의식,15.0
무속인에게 점을 보는 무속신앙은 현대에도 일부 남아 있다. 일부 지역 에는 점을 봐주는 집(점집)이 있다.,220,무속인에게 점을 보는 신앙은 어디에도 남아 있나요?,"1. 현대
2. 과거
3. 미래
4. 현재
",현대,15.0
옛날 한국 사람들은 집 안에도 집을 지켜주는 신이 있다고 생각했다.,221,옛날 한국 사람들은 어디에도 신이 있다고 믿었나요?,"1. 집 안
2. 학교
3. 도서관
4. 병원
",집 안,15.0
성주신은 집안 전체를 다스리는 신으로 가정을 편안하게 지켜주고 부자가 되게 해 준다고 믿었다.,222,성주신은 어떤 역할을 하는 신인가요?,"1. 집안 전체를 다스리는 신
2. 아기를 태어나게 하는 신
3. 집터를 지키는 신
4. 화장실을 지키는 신
",집안 전체를 다스리는 신,15.0
삼신은 안방에 있는 신으로 아기를 태어나게 해주고 건강하게 지켜준다고 믿었다.,223,삼신은 어디에 있는 신인가요?,"1. 안방
2. 부엌
3. 화장실
4. 집터
",안방,15.0
"이 밖에도 부엌에는 조왕신, 화장실에는 측신, 집터를 지키는 터주신 등이 있다고 믿었다.",224,화장실을 지키는 신은 무엇인가요?,"1. 조왕신
2. 터주신
3. 삼신
4. 측신
",측신,15.0
"삼신상에는 흰 밥과 미역국, 그리고 정화수를 올린다.",225,삼신상에는 어떤 음식을 올리나요?,"1. 흰 밥과 미역국, 그리고 정화수
2. 김치와 된장찌개, 그리고 소주
3. 떡과 과일, 그리고 차
4. 삼겹살과 소주, 그리고 밥
","흰 밥과 미역국, 그리고 정화수",15.0
지역에 따라 나물을 올리는 경우도 있다.,226,지역에 따라 삼신상에 어떤 음식을 추가로 올리나요?,"1. 나물
2. 김치
3. 된장찌개
4. 떡
",나물,15.0
다 차린 후에는 절을 하면서 아이의 건강을 빌었다.,227,삼신상을 차린 후에는 무엇을 빌었나요?,"1. 아이의 건강
2. 부의 증가
3. 집의 안전
4. 건강한 식사
",아이의 건강,15.0
옛날에는 의료 기술이 상대적으로 발달하지 않아 아이가 일찍 죽는 일이 많았기 때문에 아이를 낳으면 삼신에게 감사하고 아이가 잘 크기를 비는 마음을 담아 삼신상을 안방에 차려 두기도 했다.,228,옛날에는 왜 삼신에게 감사하고 아이가 잘 크기를 비는 마음을 담아 삼신상을 안방에 차려 두었나요?,"1. 아이가 일찍 죽는 일이 많았기 때문
2. 부의 증가를 원했기 때문
3. 집의 안전을 원했기 때문
4. 건강한 식사를 원했기 때문
",아이가 일찍 죽는 일이 많았기 때문,15.0
집안에도여러신이있다고믿었어요,229,옛날 한국 사람들은 어디에 여러 신이 있다고 믿었나요?,"1. 집안
2. 학교
3. 도서관
4. 병원
",집안,15.0
외래 종교  다른 나라에서 들어온 종교  명동성당  정동교회  이슬람사원(서울 이태원동)  한국인의 종교  불교  22%  개신교  21%  카톨릭  7%  한국갤럽의 조사에 따르면 만 18세 이상 한국인의 약 50%는 종교를 가지고 있다.,230,한국인의 약 50%는 어떤 것을 가지고 있다고 한국갤럽의 조사에서 밝혀졌는가?,"1. 불교
2. 개신교
3. 종교
4. 카톨릭
",종교,15.0
외래 종교  다른 나라에서 들어온 종교  명동성당  정동교회  이슬람사원(서울 이태원동)  한국인의 종교  불교  22%  개신교  21%  카톨릭  7%,231,한국인의 종교 중 불교를 믿는 사람의 비율은 얼마인가?,"1. 22%
2. 21%
3. 7%
4. 50%
",22%,15.0
"왜 고사 때 돼지머리를 올릴까?  한국에서는 가게를 새로 여는 등 사업을 시작하거나, 드라마·영화 등을 새로 제작할 때 고사를 지내는 모습을 볼 수 있다. 고사란 나쁜 운은 없어지고 행운이 오도록 하기 위해 음식을 차려놓고 신에게 비는 제사이다.",232,한국에서 고사를 지내는 주된 이유는 무엇인가?,"1. 나쁜 운을 없애고 행운을 불러오기 위해
2. 신에게 음식을 제공하기 위해
3. 사업을 시작하거나 새로운 작품을 제작하기 위해
4. 돼지머리를 제공하기 위해
",나쁜 운을 없애고 행운을 불러오기 위해,15.0
고사를 위해 차린 상에는 일반적으로 돼지머리가 올라가는데 그 이유는 돼지가 신에게 소원을 전해주는 역할을 한다고 믿었기 때문이다.,233,고사에서 돼지머리가 상에 올라가는 주된 이유는 무엇인가?,"1. 돼지가 맛있기 때문
2. 돼지가 신에게 소원을 전해주는 역할을 한다고 믿기 때문
3. 돼지가 쉽게 구할 수 있기 때문
4. 돼지가 행운을 가져다주는 동물이라고 믿기 때문
",돼지가 신에게 소원을 전해주는 역할을 한다고 믿기 때문,15.0
"오늘날 한국인들은 불교, 기독교, 유교, 원불교, 천도교, 이슬람교 등의 다양한 종교를 가지고 있다.",234,오늘날 한국인들이 가지고 있는 종교에는 어떤 것들이 포함되어 있는가?,"1. 불교, 기독교, 유교, 원불교, 천도교, 이슬람교
2. 불교, 기독교, 유교, 천도교, 이슬람교
3. 불교, 기독교, 유교, 원불교, 천도교
4. 불교, 기독교, 유교, 원불교, 이슬람교
","불교, 기독교, 유교, 원불교, 천도교, 이슬람교",15.0
불교는 4세기 무렵 한국에 전파된 종교로서 외래종교 중 가장 오래 되었고 그만큼 많은 문화유산을남겼다.,235,한국에 전파된 외래 종교 중 가장 오래된 종교는 무엇인가?,"1. 기독교
2. 유교
3. 불교
4. 이슬람교
",불교,15.0
"오래 전에 만들어진 절과 그 안에 있는불상, 탑 등은 한국의 중요한 문화재로 지정된경우가 많다.",236,한국의 중요한 문화재로 지정된 경우가 많은 것은 무엇인가?,"1. 절과 그 안에 있는 불상, 탑
2. 교회와 그 안에 있는 십자가
3. 사원과 그 안에 있는 코란
4. 성당과 그 안에 있는 성모상
","절과 그 안에 있는 불상, 탑",15.0
그래서 종교에 상관없이 많은 사람들이관광이나 체험 등을 위해 절을 방문한다.,237,왜 많은 사람들이 종교에 상관없이 절을 방문하는가?,"1. 체험하거나 관광하기 위해
2. 불교를 배우기 위해
3. 문화재를 보기 위해
4. 불상을 보기 위해
",체험하거나 관광하기 위해,15.0
▶ 명승 제61호 속리산 법주사 일원,238,명승 제61호로 지정된 곳은 어디인가?,"1. 서울 명동성당
2. 서울 이태원 이슬람사원
3. 속리산 법주사 일원
4. 서울 정동교회
",속리산 법주사 일원,15.0
또한 돼지가 새끼를 많이 낳는 것처럼 많은 돈을 벌라는 의미도 있다.,239,고사에서 돼지머리를 사용하는 또 다른 의미는 무엇인가?,"1. 많은 돈을 벌라는 의미
2. 많은 행운을 불러오라는 의미
3. 많은 사람들이 모이게 하라는 의미
4. 많은 소원을 이루게 하라는 의미
",많은 돈을 벌라는 의미,15.0
불교는 4세기 무렵 한국에 전파된 종교로서 외래종교 중 가장 오래 되었고 그만큼 많은 문화유산을남겼다.,240,한국에 가장 먼저 전파된 외래 종교는 무엇인가?,"1. 유교
2. 기독교
3. 불교
4. 이슬람교
",불교,15.0
유교도 삼국시대에 처음 들어온 이후 대체로 고려 말 무렵 한국에서 자리를 잡기 시작하였다.,241,유교가 한국에서 자리를 잡기 시작한 시대는 언제인가?,"1. 삼국시대
2. 고려시대
3. 조선시대
4. 근현대
",고려시대,15.0
가톨릭은 17세기에 서양의 학문과 함께 들어 왔다.,242,가톨릭이 한국에 처음 들어온 시기는 언제인가?,"1. 17세기
2. 18세기
3. 19세기
4. 20세기
",17세기,15.0
개신교는 19세기에 선교사들을 통해 한국에 들어왔다.,243,개신교가 한국에 처음 들어온 시기는 언제인가?,"1. 17세기
2. 18세기
3. 19세기
4. 20세기
",19세기,15.0
원불교와 천도교는 한국에서 만들어진 고유의 종교로서 각각 일정한 수의 신도를 확보하고 있다.,244,한국에서 만들어진 고유의 종교는 무엇인가?,"1. 불교와 유교
2. 기독교와 이슬람교
3. 원불교와 천도교
4. 가톨릭과 개신교
",원불교와 천도교,15.0
조상이 돌아가신 날이나 명절에 조상에게 제사를 지내는 것은 유교의 대표적인 의식의 하나이다.,245,유교의 대표적인 의식 중 하나는 무엇인가?,"1. 명절에 조상에게 제사 지내기
2. 성당에서 미사 집행
3. 교회에서 예배 드리기
4. 사원에서 기도하기
",명절에 조상에게 제사 지내기,15.0
"가톨릭의 종교 의식은 성당에서, 개신교의 종교 의식은 교회에서 각각 이루어진다.",246,가톨릭의 종교 의식은 어디에서 이루어지는가?,"1. 성당
2. 교회
3. 사원
4. 절
",성당,15.0
"가톨릭의 종교 의식은 성당에서, 개신교의 종교 의식은 교회에서 각각 이루어진다.",247,개신교의 종교 의식은 어디에서 이루어지는가?,"1. 성당
2. 교회
3. 사원
4. 절
",교회,15.0
최근에는 이슬람교를 종교로 가진 외국인 근로자들이 한국에 많이 들어오면서 이슬람 사원 등 이슬람 문화를 접할 수 있는 기회도 늘어나고 있다.,248,최근 한국에서 이슬람 문화를 접할 수 있는 기회가 늘어난 이유는 무엇인가?,"1. 이슬람교를 믿는 외국인 근로자들이 많이 들어와서
2. 한국인들이 이슬람교를 많이 믿기 시작해서
3. 이슬람교 선교사들이 한국에 많이 와서
4. 한국에서 이슬람교가 공식 종교로 인정되었기 때문에
",이슬람교를 믿는 외국인 근로자들이 많이 들어와서,15.0
특히 조선시대에 유교가 국가 통치 이념으로 채택되면서 이후 한국에 큰 영향을 끼쳤다.,249,조선시대에 어떤 종교가 국가 통치 이념으로 채택되었는가?,"1. 불교
2. 유교
3. 기독교
4. 이슬람교
",유교,15.0
한국인들이 거주하고 있는 집의 형태는 크게 단독주택과 공동주택으로 나눌 수 있다.,900,한국인들이 주로 거주하는 집의 형태는 어떤 것들로 나눌 수 있는가?,"1. 단독주택과 다가구주택
2. 단독주택과 공동주택
3. 공동주택과 아파트
4. 다가구주택과 아파트
",단독주택과 공동주택,16.0
단독주택은 보통 한 가구가 독립적으로 생활할 수 있도록 집을 한 채씩 각각 지은 형태를 말한다.,901,단독주택의 특징은 무엇인가?,"1. 한 가구가 독립적으로 생활할 수 있음
2. 여러 가구가 같이 생활함
3. 세를 내고 살 수 있음
4. 3층 이하의 건물
",한 가구가 독립적으로 생활할 수 있음,16.0
단독주택에는 여러 가구가 각각의 독립적인 공간을 차지하며 살 수 있도록 지은 다가구주택도 포함된다.,902,단독주택에는 어떤 주택 형태가 포함되는가?,"1. 공동주택
2. 다가구주택
3. 아파트
4. 오피스텔
",다가구주택,16.0
