cite,question_id,question,choices,answer,chapter
"자음은 사람의 발음 기관을 보고 만들었고, 모음은 하늘(·), 땅(-), 사람(ᅵ) 이라는 세 가지 요소를 결합하여 만들었다.",822,한글의 모음은 어떤 세 가지 요소를 결합하여 만들었나요?,"1. 하늘, 땅, 바람
2. 하늘, 땅, 불
3. 하늘, 땅, 물
4. 하늘, 땅, 사람
","하늘, 땅, 사람",1
"자음과 모음을 합하여 모두 24개이며, 소리 나는 대로 적으면 되기 때문에 배우기가 비교적 쉽다.",823,한글은 총 몇 개의 문자로 이루어져 있나요?,"1. 20개
2. 22개
3. 24개
4. 26개
",24개,1
일반 백성도 쉽게 배울 수 있는 한글이 만들어진 이후에 문맹이 줄어들 었고 이는 한국의 문화를 발전시키는 데 큰 도움이 되었다.,824,한글이 만들어진 이후에 어떤 변화가 있었나요?,"1. 문맹이 증가하였다
2. 문맹이 줄어들었다
3. 문맹이 변화 없었다
4. 문맹에 대한 정보가 없다
",문맹이 줄어들었다,1
이와 같은 한글의 성과를 기념하기 위해 유네스코(UNESCO)에서는 세계적으로 문맹 퇴치 사업에 많은 기여를 한 사람이나 단체를 선정하여 상을 주는데 그 상의 이름을 ‘세종대왕상’이라고 정하였다.,825,유네스코에서는 어떤 상의 이름을 ‘세종대왕상’이라고 정하였나요?,"1. 문화유산 보호 상
2. 문맹 퇴치 기여 상
3. 과학 기술 발전 상
4. 환경 보호 상
",문맹 퇴치 기여 상,1
한글 모음과 자음으로 글을 구성 할 수 있는 휴대폰 자판(천지인),826,한글로 구성할 수 있는 휴대폰 자판의 이름은 무엇인가요?,"1. 천지인
2. 나랏글
3. 세종글
4. 훈민정음
",천지인,1
한글은 자음(14개)과 모음(10개) 을 결합하여 하나의 글자를 이룬다는 점에서 과학적인 문자라는 평가를 받고 있다.,827,한글은 어떤 점에서 과학적인 문자라는 평가를 받고 있나요?,"1. 자음과 모음을 결합하여 하나의 글자를 이룬다는 점
2. 자음과 모음의 수가 많다는 점
3. 자음과 모음의 형태가 다양하다는 점
4. 자음과 모음의 발음이 다양하다는 점
",자음과 모음을 결합하여 하나의 글자를 이룬다는 점,1
"자음은 사람의 발음 기관을 보고 만들었고, 모음은 하늘(·), 땅(-), 사람(ᅵ) 이라는 세 가지 요소를 결합하여 만들었다.",828,한글의 자음은 어떻게 만들어졌나요?,"1. 사람의 발음 기관을 보고 만들었다
2. 동물의 울음소리를 보고 만들었다
3. 자연의 소리를 보고 만들었다
4. 기타 다른 언어를 참고하여 만들었다
",사람의 발음 기관을 보고 만들었다,1
한글은 지금으로부터 약 600여 년 전에 조선의 세종 대왕이 창제하였다.,829,한글을 창제한 사람은 누구인가요?,"1. 태조
2. 세조
3. 세종
4. 예종
",세종,1
"초등학교는 초등교육을, 중학교와 고등학교는 중등교육을 담당한다.",20,한국에서 초등교육을 담당하는 교육기관은 무엇인가?,"1. 중학교
2. 고등학교
3. 초등학교
4. 대학교
",초등학교,10
"초등학교 6년, 중학교 3년, 고등학교 3년으로 각각 구성되어 있다.",21,한국의 중학교는 몇 년 동안 수업을 받는가?,"1. 6년
2. 3년
3. 4년
4. 2년
",3년,10
매년 3월에 1학기가 시작된다.,22,한국에서 학년의 첫 학기는 언제 시작하는가?,"1. 1월
2. 2월
3. 3월
4. 4월
",3월,10
"한국에서 의무교육 기간은 9년으로, 한국 국민이라면 초등학교와 중학교 교육을 꼭 받아야 한다.",23,한국에서 의무교육 기간은 몇 년인가?,"1. 6년
2. 9년
3. 12년
4. 15년
",9년,10
국립학교  •국가(중앙 정부)에서 설립하여 운영하는 학교,24,국립학교는 누구에 의해 설립되어 운영되는가?,"1. 개인
2. 민간단체
3. 지방자치단체
4. 국가(중앙 정부)
",국가(중앙 정부),10
공립학교  •지방자치단체에서 설립하여 운영하는 학교,25,공립학교는 누구에 의해 설립되어 운영되는가?,"1. 개인
2. 민간단체
3. 지방자치단체
4. 국가(중앙 정부)
",지방자치단체,10
사립학교  •개인이나 민간단체가 설립하여 운영하는 학교,26,사립학교는 누구에 의해 설립되어 운영되는가?,"1. 개인이나 민간단체
2. 지방자치단체
3. 국가(중앙 정부)
4. 교육청
",개인이나 민간단체,10
의무교육  •초등학교(6년) •중학교(3년),27,한국에서 의무교육을 받아야 하는 학교는 어떤 것들인가?,"1. 초등학교와 중학교
2. 중학교와 고등학교
3. 초등학교와 고등학교
4. 초등학교, 중학교, 고등학교
",초등학교와 중학교,10
한국의 학기  •1년 2학기 •1학기(3월~8월) •2학기(9월~다음해 2월) •방학(여름/겨울),28,한국에서 2학기는 언제부터 언제까지인가?,"1. 3월~8월
2. 9월~다음해 2월
3. 1월~6월
4. 7월~12월
",9월~다음해 2월,10
교육청  •각지역의교육에관한일을맡아 보는 행정 기관,29,교육청의 주요 역할은 무엇인가?,"1. 교육과정 개발
2. 교사 배치
3. 학교 운영
4. 각 지역의 교육에 관한 일을 맡아 보는 것
",각 지역의 교육에 관한 일을 맡아 보는 것,10
초등학교는 국·공립 초등학교와 사립 초등학교로 구분되는데 초등학교 전체의 약 95% 이상은 국· 공립초등학교이다.,30,초등학교 전체 중 국·공립 초등학교가 차지하는 비율은 얼마인가?,"1. 80%
2. 85%
3. 90%
4. 95% 이상
",95% 이상,10
사립 초등 학교의 수는 국·공립 초등학교에 비해 매우 적어서 희망자 중 추첨을 통해 다니게 되는 경우가 많다.,31,사립 초등학교에 다니게 되는 경우는 어떤 방식으로 결정되는가?,"1. 성적 순
2. 추첨
3. 거리 순
4. 면접 순
",추첨,10
중학교 전체의 약 80% 정도는 국·공립 중학교이다.,32,중학교 전체 중 국·공립 중학교가 차지하는 비율은 얼마인가?,"1. 60%
2. 70%
3. 80%
4. 90%
",80%,10
"특수목적 중학교에서는 예술, 체육, 외국어 등의 각 분야에 대한 교육을 중점적으로 실시한다.",33,특수목적 중학교에서는 어떤 분야의 교육을 중점적으로 실시하는가?,"1. 과학, 수학
2. 예술, 체육, 외국어
3. 사회, 역사
4. 음악, 미술
","예술, 체육, 외국어",10
고등학교 전체의 약 60% 정도가 국·공립 고등학교이다.,34,고등학교 전체 중 국·공립 고등학교가 차지하는 비율은 얼마인가?,"1. 50%
2. 55%
3. 60%
4. 65%
",60%,10
일반계 고등학교에는 고입선발고사나 학교별 입학시험을 치른 후 진학한다.,35,일반계 고등학교에 진학하기 위해 치르는 시험은 무엇인가?,"1. 학력평가시험
2. 능력평가시험
3. 고입선발고사나 학교별 입학시험
4. 학교생활기록부 평가
",고입선발고사나 학교별 입학시험,10
"특수목적 고등학교는 과학, 외국어, 체육, 예술 등의 분야를 집중 교육하는 학교이다.",36,특수목적 고등학교에서는 어떤 분야의 교육을 집중적으로 하는가?,"1. 과학, 외국어, 체육, 예술
2. 사회, 역사, 문학
3. 수학, 물리, 화학
4. 음악, 미술, 디자인
","과학, 외국어, 체육, 예술",10
외국인 자녀를 한국 학교에 입학시킬 때는 임대차 계약서를 제출하거나 주변에 사는 이웃의 확인을 통해 주거사실을 확인하는 절차를 꼭 거쳐야 한다.,37,외국인 자녀를 한국 학교에 입학시킬 때 필요한 절차는 무엇인가?,"1. 학력증명서 제출
2. 임대차 계약서 제출 및 주거사실 확인
3. 외국어능력 시험
4. 면접
",임대차 계약서 제출 및 주거사실 확인,10
학교에서 교장 선생님 이나 담임 선생님이 보내주는 가정통신문은 잘 읽어 보아야 하는데 학교에서 부모에게 전달하는 중요한 내용이 들어 있기 때문이다.,38,가정통신문을 잘 읽어봐야 하는 이유는 무엇인가?,"1. 학교의 행사 일정이 있기 때문
2. 학교에서 부모에게 전달하는 중요한 내용이 들어 있기 때문
3. 학생들의 성적이 있기 때문
4. 학교의 소식을 알기 위해서
",학교에서 부모에게 전달하는 중요한 내용이 들어 있기 때문,10
"특히 초등학생의 부모는 수업 준비물, 숙제 등을 기록한 알림장도 매일 살펴보아야 한다.",39,초등학생의 부모가 매일 살펴봐야 하는 것은 무엇인가?,"1. 성적표
2. 알림장
3. 가정통신문
4. 학교일정
",알림장,10
1980년 27%였던 대학진학률은 2010년에 79%까지 올라갔고 그 이후에도 70%대를 유지하고 있다.,40,1980년 한국의 대학진학률은 얼마였나요?,"1. 27%
2. 70%
3. 79%
4. 50%
",27%,10
1980년 27%였던 대학진학률은 2010년에 79%까지 올라갔고 그 이후에도 70%대를 유지하고 있다.,41,2010년 한국의 대학진학률은 얼마였나요?,"1. 27%
2. 70%
3. 79%
4. 50%
",79%,10
대안학교(alternative school)는 입시위주 등 공교육의 문제점을 보완하고자 만들어진 학교다.,42,대안학교는 어떤 목적으로 만들어진 학교인가요?,"1. 입시위주의 공교육 문제점 보완
2. 학생들의 체육능력 향상
3. 예술적 재능을 가진 학생 육성
4. 과학기술 교육 강화
",입시위주의 공교육 문제점 보완,10
2013년 6월 기준 으로 한국에는 대안학교 및 대안교육 특성화고에 해당하는 곳이 54개에 이른다.,43,2013년 6월 기준 한국에는 대안학교 및 대안교육 특성화고가 몇 개 있었나요?,"1. 50개
2. 54개
3. 60개
4. 70개
",54개,10
대안 학교를 졸업했다고 해서 모두 학력을 인정받는 것은 아니고 별도의 시험을 치러야 하는 경우도 있다.,44,대안학교를 졸업했다고 해서 모두 학력을 인정받는 것인가요?,"1. 예
2. 아니오
",아니오,10
한국의 고등교육기관으로는 대학교와 대학원이 있다.,45,한국의 고등교육기관에는 어떤 것들이 있나요?,"1. 대학교와 대학원
2. 중학교와 고등학교
3. 초등학교와 중학교
4. 유치원과 초등학교
",대학교와 대학원,10
"대학교에서는 다양한 분야의 학문, 기술 등을 가르친다.",46,대학교에서는 어떤 것들을 가르치나요?,"1. 다양한 분야의 학문, 기술 등
2. 초등학교 과정
3. 중학교 과정
4. 고등학교 과정
","다양한 분야의 학문, 기술 등",10
"대학교는 학문 분야와 특성에 따라 2년제, 3년제, 4년제 등으로 구분된다.",47,대학교는 어떻게 구분되나요?,"1. 학문 분야와 특성에 따라 2년제, 3년제, 4년제 등으로
2. 학교 크기에 따라
3. 학교 위치에 따라
4. 학교 설립 연도에 따라
","학문 분야와 특성에 따라 2년제, 3년제, 4년제 등으로",10
"최근에는 학교에 출석하지 않고 방송이나 인터넷 등을 통해 학습하는 방송 통신대학, 디지털대학, 사이버대학 등도 많이 볼 수 있다.",48,최근에는 어떤 방식으로 학습하는 대학이 많이 생겼나요?,"1. 방송이나 인터넷 등을 통해 학습하는 방식
2. 직접 학교에 가서 학습하는 방식
3. 교과서만을 이용해 학습하는 방식
4. 튜터와 함께 학습하는 방식
",방송이나 인터넷 등을 통해 학습하는 방식,10
원하는 시간에 자유롭게 수업을 들을 수 있기 때문에 직장인이나 일반 성인들에게도 인기가 높은 편이다.,49,원하는 시간에 자유롭게 수업을 들을 수 있는 학습 방식은 어떤 집단에게 인기가 높나요?,"1. 학생들
2. 직장인이나 일반 성인들
3. 어린이들
4. 노인들
",직장인이나 일반 성인들,10
"대학교의 등록금은 대학마다 차이가 있지만, 대체로국립대학교의 경우 1년에 300만 원~500만 원",50,국립대학교의 대략적인 연간 등록금은 얼마인가?,"1. 100만 원~300만 원
2. 300만 원~500만 원
3. 500만 원~700만 원
4. 700만 원~900만 원
",300만 원~500만 원,10
"사립대학교의 경우 1년에 대략 600만 원~1,000만 원 정도 된다.",51,사립대학교의 대략적인 연간 등록금은 얼마인가?,"1. 300만 원~500만 원
2. 500만 원~700만 원
3. 600만 원~1,000만 원
4. 1,000만 원~1,300만 원
","600만 원~1,000만 원",10
각 대학에서는 등록금 부담을 줄여주기 위해 다양한 장학금 제도를 마련하고 있다.,52,대학에서 등록금 부담을 줄이기 위해 어떤 제도를 마련하고 있는가?,"1. 장학금 제도
2. 등록금 할인 제도
3. 등록금 면제 제도
4. 등록금 분할 납부 제도
",장학금 제도,10
"최근 한국의 많은 대학에서는 유학생을 많이 볼 수 있는데, 유학생을 위한 숙소, 학비 지원은 물론 각종 문화 행사 등도 다양하게 이루어지고 있다.",53,한국의 대학에서 유학생을 위해 어떤 지원을 하고 있는가?,"1. 숙소 제공
2. 학비 지원
3. 문화 행사 개최
4. 모두
",모두,10
대학원은 대학교를 졸업한 사람이 입학할 수 있다.,54,대학원에 입학할 수 있는 자격은 무엇인가?,"1. 고등학교 졸업
2. 대학교 졸업
3. 석사 졸업
4. 박사 졸업
",대학교 졸업,10
"석사과정과 박사과정으로 구분 되며 각각 2~3년 정도씩 공부한 후 졸업을 하면 석사학위, 박사학위를 받게 된다.",55,석사과정과 박사과정의 대략적인 기간은 얼마인가?,"1. 1~2년
2. 2~3년
3. 3~4년
4. 4~5년
",2~3년,10
대학원에서는 대학교에서보다 더욱 전문적인 연구를 통해 다양한 분야의 전문가를 배출한다.,56,대학원에서는 어떤 활동을 통해 전문가를 배출하는가?,"1. 전문적인 연구
2. 실습
3. 인턴십
4. 해외 교육 프로그램
",전문적인 연구,10
"석사과정과 박사과정으로 구분 되며 각각 2~3년 정도씩 공부한 후 졸업을 하면 석사학위, 박사학위를 받게 된다.",57,대학원에서 석사과정과 박사과정을 모두 이수하면 어떤 학위를 받게 되는가?,"1. 학사학위
2. 석사학위
3. 박사학위
4. 석사학위와 박사학위
",석사학위와 박사학위,10
"최근 한국의 많은 대학에서는 유학생을 많이 볼 수 있는데, 유학생을 위한 숙소, 학비 지원은 물론 각종 문화 행사 등도 다양하게 이루어지고 있다.",58,한국의 대학에서는 유학생을 위해 어떤 문화 행사를 개최하는가?,"1. 음악회
2. 축제
3. 전시회
4. 정보가 부족하여 알 수 없음
",정보가 부족하여 알 수 없음,10
대학원은 대학교를 졸업한 사람이 입학할 수 있다.,59,대학원에 입학하기 위해 필요한 최소 학력은 무엇인가?,"1. 고등학교 졸업
2. 전문대학 졸업
3. 대학교 졸업
4. 석사 졸업
",대학교 졸업,10
한국에서 초등학교와 중학교는 의무교육으로 이루어지기 때문에 일부 특수목적 중학교를 제외하면 대부분 특별한 시험을 보지 않고 입학한다.,130,한국에서 초등학교와 중학교의 입학은 어떻게 이루어지나요?,"1. 특별한 시험을 보고 입학한다
2. 의무교육으로서 특별한 시험 없이 입학한다
3. 특수목적 중학교만 특별한 시험을 보고 입학한다
4. 모든 학교가 특별한 시험을 보고 입학한다
",의무교육으로서 특별한 시험 없이 입학한다,11
한국에서 고등학교까지 마치는 학생들의 비율은 2014년 기준 98%로 OECD 국가 평균인 82%보다 높다.,131,2014년 기준 한국의 고등학교 이수 비율은 어떻게 되나요?,"1. 82%
2. 98%
3. 70%
4. 90%
",98%,11
수능은 고등학교 졸업 예정자나 졸업자 및 이에 해당하는 학력을 가진 사람이면 누구나 볼 수 있고 매년 11월에 실시된다.,132,수능은 언제 실시되나요?,"1. 매년 10월
2. 매년 11월
3. 매년 12월
4. 매년 1월
",매년 11월,11
한국의 대학 진학률은 경제협력 개발기구(OECD) 국가 중 최고 수준으로 2014년에는 약 70%에 달하였다.,133,2014년 기준 한국의 대학 진학률은 어떻게 되나요?,"1. 약 50%
2. 약 60%
3. 약 70%
4. 약 80%
",약 70%,11
한국에서 교육은 사회적 지위를 상승시킬 수 있는 중요한 방법 중 하나로 인식된다.,134,한국에서 교육은 어떻게 인식되나요?,"1. 사회적 지위를 상승시킬 수 있는 중요한 방법 중 하나
2. 필수적인 요소
3. 부가적인 요소
4. 사회적 지위와는 관련 없는 요소
",사회적 지위를 상승시킬 수 있는 중요한 방법 중 하나,11
"실제로 고등학교 졸업자가 처음 받는 연봉을 100이라고 할 때 중학교 이하 졸업자가 71, 전문대 졸업자가 116, 대학교 이상 졸업자가 161로 집계되어 한국의 학력별 임금차이는 OECD 국가 중에서 가장 큰 것으로 나타났다.",135,한국에서 학력이 임금에 어떤 영향을 미치나요?,"1. 학력이 높을수록 임금이 높아진다
2. 학력이 낮을수록 임금이 높아진다
3. 학력이 임금에 영향을 미치지 않는다
4. 학력과 임금 사이에는 별다른 관계가 없다
",학력이 높을수록 임금이 높아진다,11
"대학을 나와야 사회적인 지위가 올라가고 취업, 결혼 등에 유리하다는 생각 때문에 좋은 대학에 가기 위한 경쟁이 치열하게 벌어지고, 많은 부모들이 비싼 등록금을 감당하면서도 자녀를 기꺼이 대학에 보내려고 한다.",136,한국에서 대학 진학에 대한 경쟁이 치열한 이유는 무엇인가요?,"1. 취업과 결혼 등에 유리하다는 생각 때문
2. 부모들의 강요 때문
3. 학력이 사회적 지위를 결정한다는 생각 때문
4. 대학 진학이 의무적이기 때문
",취업과 결혼 등에 유리하다는 생각 때문,11
이와 같은 이유로 한국의 대학 진학률은 다른 나라에 비해 매우 높게 나타난다고 할 수 있다.,137,한국의 대학 진학률이 다른 나라에 비해 높은 이유는 무엇인가요?,"1. 교육에 대한 인식과 사회적 지위, 취업 등에 대한 기대 때문
2. 대학 진학이 의무적이기 때문
3. 대학교 수준이 높기 때문
4. 교육비 지원이 많기 때문
","교육에 대한 인식과 사회적 지위, 취업 등에 대한 기대 때문",11
진학률  전체 졸업생 중 상급학교에 들어 가는 학생의 비율,138,진학률이란 무엇을 의미하나요?,"1. 전체 졸업생 중 상급학교에 들어 가는 학생의 비율
2. 전체 학생 중 졸업하는 학생의 비율
3. 전체 학생 중 대학에 진학하는 학생의 비율
4. 전체 학생 중 고등학교에 진학하는 학생의 비율
",전체 졸업생 중 상급학교에 들어 가는 학생의 비율,11
이수  공부하여 어떤 과정을 마침,139,이수란 무엇을 의미하나요?,"1. 공부하여 어떤 과정을 마침
2. 학교를 졸업함
3. 학교를 중퇴함
4. 학교를 입학함
",공부하여 어떤 과정을 마침,11
한국에서는 수능이나 입사 시험 등과 같이 중요한 시험을 보는 사람들에게 시험을 잘 보라는 의미로 여러 가지 선물을 한다.,140,한국에서 중요한 시험을 보는 사람들에게 주는 선물의 의미는 무엇인가?,"1. 시험을 잘 보라는 의미
2. 시험을 통과하라는 의미
3. 시험을 빨리 보라는 의미
4. 시험을 즐기라는 의미
",시험을 잘 보라는 의미,11
엿과 찹쌀떡은 잘 붙고 쉽게 떨어지지 않기 때문에 옛날부터 합격을 기원하는 선물로 많이 주고 받았다.,141,한국에서 합격을 기원하는 선물로 전통적으로 주고 받는 것은 무엇인가?,"1. 엿과 찹쌀떡
2. 과일과 초콜릿
3. 커피와 차
4. 꽃과 카드
",엿과 찹쌀떡,11
"사교육비  초·중등학생의 학교 외 보충 교육비(학원비, 과외비, 학습지, 인터넷강의 과외비 등)",142,사교육비에 포함되는 것은 무엇인가?,"1. 학원비, 과외비, 학습지, 인터넷강의 과외비 등
2. 교재비, 시험비, 등록금, 학교 운영비 등
3. 식비, 교통비, 복장비, 건강관리비 등
4. 도서비, 연구비, 실험비, 장비비 등
","학원비, 과외비, 학습지, 인터넷강의 과외비 등",11
"고3병  고등학교 3학년 수험생이 입시 준비로 인해 겪는 스트레스, 소화불량 등과 같은 각종 질환",143,고3병이란 무엇인가?,"1. 고등학교 3학년 수험생이 입시 준비로 인해 겪는 스트레스, 소화불량 등의 질환
2. 고등학교 3학년 수험생이 공부로 인해 겪는 불면증, 식욕부진 등의 질환
3. 고등학교 3학년 수험생이 스트레스로 인해 겪는 우울증, 불안장애 등의 질환
4. 고등학교 3학년 수험생이 과도한 공부로 인해 겪는 뇌진탕, 뇌출혈 등의 질환
","고등학교 3학년 수험생이 입시 준비로 인해 겪는 스트레스, 소화불량 등의 질환",11
입시지옥  대학에 입학하기 위해서 각종 시험 준비와 경쟁으로 보내는 힘겨운 시기를 가리키는 말,144,입시지옥이란 무엇을 의미하는가?,"1. 대학에 입학하기 위한 각종 시험 준비와 경쟁으로 보내는 힘겨운 시기
2. 고등학교 3학년 수험생이 겪는 스트레스와 고민의 시기
3. 대학 입학을 위해 필요한 다양한 자격증과 경력을 쌓는 과정
4. 대학 입학 후 첫 학기를 겪는 어려운 시기
",대학에 입학하기 위한 각종 시험 준비와 경쟁으로 보내는 힘겨운 시기,11
조기유학  초·중·고 학생들이 외국교육기관 에서 공부하는 것,145,조기유학이란 무엇인가?,"1. 초·중·고 학생들이 외국교육기관에서 공부하는 것
2. 초·중·고 학생들이 국내 교육기관에서 공부하는 것
3. 초·중·고 학생들이 학교 외의 교육기관에서 공부하는 것
4. 초·중·고 학생들이 학교를 중단하고 직접 공부하는 것
",초·중·고 학생들이 외국교육기관에서 공부하는 것,11
"이주민 가족 자녀를 위한 특별 전형은 2011년 대학입시 무렵에 처음 실시되었는데 예를 들어, 일부 대학에서 ‘고른기회전형’, ‘한마음 무궁화 특별전형’ 등과 같은 명칭으로 학업 기회를 제공한 바 있다.",146,이주민 가족 자녀를 위한 특별 전형이 처음 실시된 연도는 언제인가?,"1. 2009년
2. 2010년
3. 2011년
4. 2012년
",2011년,11
한국은 대학 진학률뿐 아니라 교육열도 세계 최고 수준으로 높다.,147,한국의 어떤 두 가지 요소가 세계 최고 수준으로 높다고 말할 수 있는가?,"1. 대학 진학률과 교육열
2. 대학 진학률과 고등학교 졸업률
3. 교육열과 고등학교 졸업률
4. 대학 진학률과 중학교 졸업률
",대학 진학률과 교육열,11
